LD=64
Using: cuda
Epoch 104/400 | G_loss: 1.45785 | D_loss: 0.82494 | D_real_acc: 74.75% | D_fake_acc: 98.56% | Class_acc: 93.69%
Epoch 105/400 | G_loss: 1.36139 | D_loss: 0.75120 | D_real_acc: 78.12% | D_fake_acc: 100.00% | Class_acc: 94.00%
Epoch 106/400 | G_loss: 1.28229 | D_loss: 0.78180 | D_real_acc: 70.62% | D_fake_acc: 98.44% | Class_acc: 94.19%
Epoch 107/400 | G_loss: 1.52012 | D_loss: 0.71491 | D_real_acc: 76.75% | D_fake_acc: 98.25% | Class_acc: 96.19%
Epoch 108/400 | G_loss: 1.66735 | D_loss: 0.63967 | D_real_acc: 82.25% | D_fake_acc: 100.00% | Class_acc: 99.75%
Epoch 109/400 | G_loss: 1.44066 | D_loss: 0.79734 | D_real_acc: 74.62% | D_fake_acc: 98.00% | Class_acc: 97.75%
Epoch 110/400 | G_loss: 1.49627 | D_loss: 0.66787 | D_real_acc: 78.94% | D_fake_acc: 98.38% | Class_acc: 99.12%
Epoch 111/400 | G_loss: 1.73727 | D_loss: 0.78641 | D_real_acc: 79.19% | D_fake_acc: 97.00% | Class_acc: 98.25%
Epoch 112/400 | G_loss: 5.12570 | D_loss: 2.78135 | D_real_acc: 77.81% | D_fake_acc: 97.75% | Class_acc: 94.19%
Epoch 113/400 | G_loss: 2.33234 | D_loss: 0.58390 | D_real_acc: 91.19% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 114/400 | G_loss: 1.63849 | D_loss: 0.61905 | D_real_acc: 85.81% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 115/400 | G_loss: 1.54683 | D_loss: 0.68179 | D_real_acc: 77.31% | D_fake_acc: 100.00% | Class_acc: 98.44%
Epoch 116/400 | G_loss: 1.50630 | D_loss: 0.70814 | D_real_acc: 77.25% | D_fake_acc: 98.75% | Class_acc: 98.38%
Epoch 117/400 | G_loss: 1.41927 | D_loss: 0.70333 | D_real_acc: 65.19% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 118/400 | G_loss: 1.13185 | D_loss: 0.68949 | D_real_acc: 54.62% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 119/400 | G_loss: 1.14375 | D_loss: 0.66540 | D_real_acc: 66.12% | D_fake_acc: 97.69% | Class_acc: 99.94%
Epoch 120/400 | G_loss: 1.36283 | D_loss: 0.69019 | D_real_acc: 68.19% | D_fake_acc: 94.44% | Class_acc: 99.94%
Epoch 121/400 | G_loss: 1.22596 | D_loss: 0.68711 | D_real_acc: 63.38% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 122/400 | G_loss: 1.21804 | D_loss: 0.67382 | D_real_acc: 63.38% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 123/400 | G_loss: 1.19926 | D_loss: 0.66958 | D_real_acc: 55.25% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 124/400 | G_loss: 1.20069 | D_loss: 0.68330 | D_real_acc: 58.50% | D_fake_acc: 95.69% | Class_acc: 99.94%
Epoch 125/400 | G_loss: 1.20468 | D_loss: 0.70071 | D_real_acc: 55.88% | D_fake_acc: 96.62% | Class_acc: 99.94%
Epoch 126/400 | G_loss: 1.10780 | D_loss: 0.69681 | D_real_acc: 61.31% | D_fake_acc: 98.31% | Class_acc: 99.94%
Epoch 127/400 | G_loss: 1.14856 | D_loss: 0.67828 | D_real_acc: 61.12% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 128/400 | G_loss: 1.12927 | D_loss: 0.69221 | D_real_acc: 61.25% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 129/400 | G_loss: 1.01298 | D_loss: 0.67158 | D_real_acc: 63.12% | D_fake_acc: 96.56% | Class_acc: 100.00%
Epoch 130/400 | G_loss: 1.03853 | D_loss: 0.66999 | D_real_acc: 61.88% | D_fake_acc: 98.38% | Class_acc: 100.00%
Epoch 131/400 | G_loss: 1.11699 | D_loss: 0.69288 | D_real_acc: 52.12% | D_fake_acc: 95.12% | Class_acc: 100.00%
Epoch 132/400 | G_loss: 1.08553 | D_loss: 0.67835 | D_real_acc: 56.75% | D_fake_acc: 91.81% | Class_acc: 100.00%
Epoch 133/400 | G_loss: 1.21571 | D_loss: 0.68673 | D_real_acc: 57.44% | D_fake_acc: 98.19% | Class_acc: 100.00%
Epoch 134/400 | G_loss: 1.12368 | D_loss: 0.67368 | D_real_acc: 57.19% | D_fake_acc: 96.31% | Class_acc: 100.00%
Epoch 135/400 | G_loss: 1.13425 | D_loss: 0.68550 | D_real_acc: 58.13% | D_fake_acc: 93.56% | Class_acc: 100.00%
